action_name,class,method,result_name,result_type,result_value
"user","user","execute","user","tiles","mainTemplate"
"logout","user","logout","success","dispatcher","/Common/logout.jsp"
"logout","user","logout","error","tiles","login-error"
"viewConultantDoctor","admin","viewConultant","success","tiles","consultantDoctors"
"appointmentHistory","admin","getappointmentHistory","success","tiles","appointmentHistory"
"appointmentHistorydirect","lab","labApprovalDetailsdictapp","success","tiles","appointmentHistorydirect"
"appointmentHistoryone","admin","getappointmentHistory","success","tiles","appointmentHistoryone"
"appointmentHistoryonepre","admin","getappointmentHistory","success","tiles","appointmentHistoryonepre"
"caseSheetView","admin","caseSheetView","success","tiles","show-case-sheet"
"caseSheetViewPediatric","admin","caseSheetView","success","tiles","show-case-sheetPediatric"
"caseSheetViewmale","admin","caseSheetView","success","tiles","show-case-sheetmale"
"caseSheetViewfemale","admin","caseSheetView","success","tiles","show-case-sheetfemale"
"caseSheetViewdirect","admin","caseSheetViewdirect","success","tiles","show-case-sheetdirect"
"invalidlogin","user","invalidlogin","success","dispatcher","/Common/Invalidlogin.jsp"
"invalidlogin","user","invalidlogin","error","tiles","login-error"
"LoginAction","user","login","success","tiles","login-success"
"LoginAction","user","login","expired","dispatcher","/Common/LoginExpired.jsp"
"LoginAction","user","login","error","dispatcher","/Common/LoginFailure.jsp"
"LoginAction1","com.pms.action.UserAction1","login","success","tiles","login-success"
"LoginAction1","com.pms.action.UserAction1","login","expired","dispatcher","/Common/LoginExpired.jsp"
"LoginAction1","com.pms.action.UserAction1","login","error","dispatcher","/Common/LoginFailure.jsp"
"home","","execute","success","tiles","login-success"
"getDepartments","admin","getDepartmentDetails","success","tiles","department"
"addDepartment","admin","addDepartment","success","tiles","department"
"addDepartment","admin","addDepartment","error","tiles","common-error"
"deptEdit","admin","deptEditDetails","success","tiles","department"
"updateDept","admin","deptUpdateDetails","success","tiles","department"
"deptDeactivate","admin","deptDeactivateDetails","success","tiles","department"
"deptDeactivate","admin","deptDeactivateDetails","error","tiles","common-error"
"deptDeactivate","admin","deptDeactivateDetails","success","tiles","deactivateSuc"
"deptDeactivate","admin","deptDeactivateDetails","error","tiles","common-error"
"getCommonMaster","admin","commonDetails","success","tiles","common"
"getConsultants1","admin","consultantDetails","success","tiles","consultant1"
"getConsultants","admin","consultantDetails","success","tiles","consultant"
"showElapsedApp","user","showElapsedApp","success","dispatcher","/HMS Android/ShowSlotsApp3.jsp"
"sessiontiming","admin","sessiontiming","","",""
"showElapsedApp1","user","showElapsedApp","success","dispatcher","/HMS Android/ShowSlotsAppnew.jsp"
"showElapsedApp2","user","showElapsedApp2","success","dispatcher","/HMS Android/ShowSlotsApp3.jsp"
"addconsultNames","admin","addConsultants","success","tiles","consultants"
"addconsultNames","admin","addConsultants","error","tiles","common-error"
"updateconsultNames","admin","updateconsultNames","success","tiles","addSucc"
"updateconsultNames","admin","updateconsultNames","error","tiles","common-error"
"updateconsultNames","admin","updateconsultNames","success1","tiles","slotTimemaster1"
"updateconsultTimingCW","admin","updateconsultTimingCW","success","tiles","addSucc"
"updateconsultTimingCW","admin","updateconsultTimingCW","error","tiles","common-error"
"updateconsultTimingCWConfirm","admin","updateconsultTimingCWConfirm","success","tiles","showslotsAppnew"
"updateconsultTimingCWConfirm","admin","updateconsultTimingCWConfirm","error","tiles","common-error"
"addupdateconsultNames","admin","addupdateconsultNames","success1","tiles","slotTime"
"addupdateconsultNames","admin","addupdateconsultNames","error","tiles","addSucc"
"consultantEdit","admin","editConsultant","success","tiles","consultant"
"updateAction","admin","updateConsultant","success","tiles","consultant"
"consultantDeactivate","admin","consltDeactivate","success","tiles","consultant"
"consultantDeactivate","admin","consltDeactivate","error","tiles","common-error2"
"consultantDeactivate","admin","consltDeactivate","success","tiles","Succonsu"
"consultantDeactivate","admin","consltDeactivate","error","tiles","common-error2"
"activateConsultant","admin","consltActivate","success","tiles","Succonsu"
"activateConsultant","admin","consltActivate","error","tiles","cons-error"
"activateDepartment","admin","deptActivate","success","tiles","deactivateSuc"
"Newsevents","admin","getNewsevents","success","tiles","newsevents"
"Newseventsmultiple","admin","getNewseventsmultiple","success","tiles","newseventsmultiple"
"imgupload","admin","uploadImages","success","tiles","newsevents"
"commonData","admin","commonMaster","success","tiles","commonmasters"
"appointmentRequest","admin","appointmentReqt","success","tiles","apntreq"
"attendencelist","admin","attendencelist","success","tiles","attendencelist"
"patientRecords","admin","patientRecords","success","tiles","patdetails"
"patientRecordsDeactivate","admin","patientRecordsDeactivate","success","tiles","patdetailsDeactivate"
"cancelRequests","admin","cancelRequests","success","tiles","cancelreq"
"confirmRequests","admin","confirmRequests","success","tiles","confirmreq"
"cancelappnts","admin","cancelappnts","success","tiles","cancelapnt"
"reqCancel","admin","cancelAppnt","success","tiles","apntreq"
"getmasterAudit","admin","masterAudit","success","tiles","masterAudit"
"getconsultantAudit","admin","consultantAudit","success","tiles","masterAudit1"
"getappntAudit","admin","appntAudit","success","tiles","appntAudit"
"getpatientAudit","admin","patientAudit","success","tiles","patAudit"
"getnewsAudit","admin","newsAudit","success","tiles","newsAudit"
"getemergencyAudit","admin","emergencyAudit","success","tiles","emergencyAudit"
"getEmergency","admin","emergency","success","tiles","emergency"
"getEmergencyReport","admin","emergencyReport","success","tiles","emergencyReport"
"getEmergencyRequest","admin","emergencyRequest","success","tiles","emergencyRequest"
"appointmentDashboardt","admin","appointmentDashboard","success","tiles","dashboard"
"upadateAppointment","admin","upadateAppointment","success","tiles","emergencyRequest"
"attendence","admin","attendence","success","tiles","apntreq"
"appointmentlog","admin","appointmentlog","success","tiles","appointmentlog"
"appointmentlog1","admin","appointmentlog1","success","tiles","appointmentlog1"
"appointmentDashboardt","admin","appointmentDashboard","success","tiles","dashboard"
"getFileUpload","admin","getFileUpload","success","tiles","get-File-Upload"
"getFileUploadlab","admin","getFileUploadlab","success","tiles","get-File-Uploadlab"
"getFileUploadForPatient","user","bookAppointmentCon1","success","tiles","get-File-Upload-patient"
"getFileUploadForPatientlab","user","bookAppointmentCon1lab","success","tiles","get-File-Upload-patientlab"
"getFileUploadForPatient1","user","bookAppointmentOthers","success","tiles","get-File-Upload-otherspatient"
"getFileUploadForDoctor","admin","getFileUploadForDoctor","success","tiles","get-File-Upload-doctor"
"getFileUploadForDoctor1","admin","getFileUploadForDoctor1","success","tiles","get-File-Upload-doctor1"
"viewFileUpload","admin","viewFileUpload","success","tiles","view-File-Upload"
"viewFileUpload","lab","viewFileUpload","success","tiles","view-File-Upload"
"userImage","admin","fileUpload","success","tiles","SuccessUserImage"
"userImage","admin","fileUpload","input","tiles","UserImage.jsp"
"userImage","admin","fileUpload","success","tiles","SuccessUserImage"
"userImage","admin","fileUpload","input","tiles","UserImage.jsp"
"userImageForPatient","admin","fileUpload","success","tiles","SuccessUserImage"
"userImageForPatient","admin","fileUpload","error","tiles","common-errors"
"userImageForPatient","admin","fileUpload","input","tiles","UserImage.jsp"
"userImageForPatient1","admin","fileUpload1","success","tiles","SuccessUserImage"
"userImageForPatient1","admin","fileUpload1","error","tiles","common-errors"
