action_name,class,method,result_name,result_type,result_value,resolved_jsp
"user","user","execute","user","tiles","mainTemplate","/body.jsp"
"logout","user","logout","success","dispatcher","/Common/logout.jsp","/Common/logout.jsp"
"logout","user","logout","error","tiles","login-error","/login-error.jsp"
"viewConultantDoctor","admin","viewConultant","success","tiles","consultantDoctors","/HMS Android/ViewDoctors.jsp?main=1&amp;sub=1"
"appointmentHistory","admin","getappointmentHistory","success","tiles","appointmentHistory","/HMS Android/Prescription/AppointmentHistory.jsp?main=2&amp;sub=5"
"appointmentHistorydirect","lab","labApprovalDetailsdictapp","success","tiles","appointmentHistorydirect","/HMS Android/Prescription/AppointmentHistorydirect.jsp?main=9&amp;sub=10"
"appointmentHistoryone","admin","getappointmentHistory","success","tiles","appointmentHistoryone","/HMS Android/Prescription/AppointmentHistoryone.jsp?main=2&amp;sub=7"
"appointmentHistoryonepre","admin","getappointmentHistory","success","tiles","appointmentHistoryonepre","/HMS Android/Prescription/AppointmentHistoryonepre.jsp?main=15&amp;sub=7"
"caseSheetView","admin","caseSheetView","success","tiles","show-case-sheet","/HMS Android/Prescription/ClinicalCaseSheet.jsp?main=2&amp;sub=5"
"caseSheetViewPediatric","admin","caseSheetView","success","tiles","show-case-sheetPediatric","/HMS Android/Prescription/ClinicalCaseSheetPediatric.jsp?main=2&amp;sub=5"
"caseSheetViewmale","admin","caseSheetView","success","tiles","show-case-sheetmale","/HMS Android/Prescription/ClinicalCaseSheetmale.jsp?main=2&amp;sub=5"
"caseSheetViewfemale","admin","caseSheetView","success","tiles","show-case-sheetfemale","/HMS Android/Prescription/caseSheetViewfemale.jsp?main=2&amp;sub=5"
"caseSheetViewdirect","admin","caseSheetViewdirect","success","tiles","show-case-sheetdirect","/HMS Android/Prescription/ClinicalCaseSheetdirect.jsp?main=9&amp;sub=10"
"invalidlogin","user","invalidlogin","success","dispatcher","/Common/Invalidlogin.jsp","/Common/Invalidlogin.jsp"
"invalidlogin","user","invalidlogin","error","tiles","login-error","/login-error.jsp"
"LoginAction","user","login","success","tiles","login-success","/Appointments/01_Dummy.jsp"
"LoginAction","user","login","expired","dispatcher","/Common/LoginExpired.jsp","/Common/LoginExpired.jsp"
"LoginAction","user","login","error","dispatcher","/Common/LoginFailure.jsp","/Common/LoginFailure.jsp"
"LoginAction1","com.pms.action.UserAction1","login","success","tiles","login-success","/Appointments/01_Dummy.jsp"
"LoginAction1","com.pms.action.UserAction1","login","expired","dispatcher","/Common/LoginExpired.jsp","/Common/LoginExpired.jsp"
"LoginAction1","com.pms.action.UserAction1","login","error","dispatcher","/Common/LoginFailure.jsp","/Common/LoginFailure.jsp"
"home","","execute","success","tiles","login-success","/Appointments/01_Dummy.jsp"
"getDepartments","admin","getDepartmentDetails","success","tiles","department","/HMS Android/Department.jsp?main=1&amp;sub=1"
